"Code du chapitre SH";"Libellé du chapitre SH";"Code du groupement d'utilisation";"Libellé du groupement d'utilisation";"Code de la section CTCI";"Libellé de la section CTCI";"Poids en KG Janvier 2000";"Poids en KG Février 2000";"Poids en KG Mars 2000";"Poids en KG Avril 2000";"Poids en KG Mai 2000";"Poids en KG Juin 2000";"Poids en KG Janvier 2001";"Poids en KG Février 2001";"Poids en KG Mars 2001";"Poids en KG Avril 2001";"Poids en KG Mai 2001";"Poids en KG Juin 2001";
"01";"ANIMAUX VIVANTS";"1";"ALIMENTATION, BOISSONS ET TABACS";"0";"PRODUITS ALIMENTAIRES ET ANIMAUX VIVANTS";"942503";"1273898";"937186";"633746";"429892";"548746";"28332";"26136";"25988";"31897";"66812";"56935";
"01";"ANIMAUX VIVANTS";"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"0";"PRODUITS ALIMENTAIRES ET ANIMAUX VIVANTS";"9933";"1182";"2646";"2462";"2874";"909";"15926";"10609";"4094";"148";"5597";"203";
"02";"VIANDES ET ABATS COMESTIBLES";"1";"ALIMENTATION, BOISSONS ET TABACS";"0";"PRODUITS ALIMENTAIRES ET ANIMAUX VIVANTS";"136635";"73799";"86519";"241974";"190593";"241943";"140344";"248428";"227894";"157970";"277951";"289577";
"03";"POISSONS, CRUSTACÉS, MOLLUSQUES ET AUTRES INVERTÉBRÉS AQUATIQUES";"1";"ALIMENTATION, BOISSONS ET TABACS";"0";"PRODUITS ALIMENTAIRES ET ANIMAUX VIVANTS";"20003398";"26719166";"18168982";"12335149";"18635760";"25085184";"37233664";"21797059";"10494462";"15061489";"14877201";"11182897";
"04";"LAIT, PRODUITS LAITIERS, ¿UFS, PRODUITS COMESTIBLES D'ORIGINE ANIMALE";"1";"ALIMENTATION, BOISSONS ET TABACS";"0";"PRODUITS ALIMENTAIRES ET ANIMAUX VIVANTS";"5471470";"4767860";"4106504";"3148855";"4979365";"3626384";"5571983";"7869611";"5060778";"3808738";"4731095";"4751024";
"04";"LAIT, PRODUITS LAITIERS, ¿UFS, PRODUITS COMESTIBLES D'ORIGINE ANIMALE";"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"0";"PRODUITS ALIMENTAIRES ET ANIMAUX VIVANTS";"0";"8";"0";"0";"24";"0";"0";"0";"0";"0";"0";"0";
"05";"AUTRES PRODUITS D'ORIGINE ANIMALE, NON DÉNOMMÉS AILLEURS";"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"2";"MATIÈRES BRUTES NON COMESTIBLES À L'EXCEPTION DES CARBURANTS";"443571";"636684";"588014";"565981";"787002";"924638";"1032817";"827970";"865584";"753395";"994411";"1307156";
"06";"PLANTES VIVANTES ET PRODUITS DE LA FLORICULTURE";"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"2";"MATIÈRES BRUTES NON COMESTIBLES À L'EXCEPTION DES CARBURANTS";"589813";"650507";"921117";"257651";"546253";"204972";"643054";"352298";"863404";"401548";"597257";"570677";
"07";"LÉGUMES, PLANTES, RACINES ET TUBERCULES ALIMENTAIRES";"1";"ALIMENTATION, BOISSONS ET TABACS";"0";"PRODUITS ALIMENTAIRES ET ANIMAUX VIVANTS";"90119715";"73991200";"55093662";"22302429";"20736988";"11365620";"101326164";"74152156";"57067006";"25659351";"16947470";"7013492";
"08";"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"1";"ALIMENTATION, BOISSONS ET TABACS";"0";"PRODUITS ALIMENTAIRES ET ANIMAUX VIVANTS";"98153958";"92408325";"82965010";"72795648";"78608503";"22282994";"63066848";"70273133";"93119856";"84879163";"30499614";"10128455";
